,Unnamed: 0,ID Kabupaten,No.,Tanggal Kejadian,Kejadian,Lokasi,Kabupaten,Provinsi,Kronologi & Dokumentasi,Penyebab,Meninggal,Hilang,Terluka,Rumah Rusak,Fasum Rusak,korban_jiwa,kerusakan,Clusters,cluster,Location,loc,point,lat,lon,altitude
0,0,1601,1,31/12/2021,BANJIR,Kec. Lubuk Batang Ds. Gunung Meraksa,OGAN KOMERING ULU,SUMATERA SELATAN,,â Dipicu oleh hujan dengan intensitas tinggi di wilayah Kabupaten OKU tanggal 31 Desember  2021 mengakibatkan meluapnya aliran anak sungai Wall.,0,0,0,0,0,0,0,0,0,"OGAN KOMERING ULU,SUMATERA SELATAN","Ogan Komering Ulu, Sumatera Selatan, Indonesia","(-4.1101012, 104.00828376734528, 0.0)",-4.1101012,104.00828376734528,0.0
1,1,1111,2,31/12/2021,BANJIR,"Kec. Dewantara Gp. Tambon Tunong Gp.  Uteun geulinggang  Gp. Keude kreung Geukueh Kec. Sawang Gp. Cot Kumuneng  Kec. Banda Baro Gp. Alue Keurinyai Gp. Jamuan Gp. Paya Ulee Gp. Ulee Nyeu Gp. Sangkelan Gp. Cot Jabet Gp. Paya Dua Kec. Cot Girek Gp. Cot Girek Gp. Trieng Gp. U Baro Gp. Berandang Dayah Kec. Matang Kuli Gp. Alue Entok Gp. Tumpok Barat Gp. Alue Tho Gp. Ceubrek Pirak Gp. Lawang Gp. Tanjong Haji Muda Gp. Meuria Gp. Pante Pirak Gp. Siren Gp. Hagu Gp. Leubok Pirak Gp. Parang Sikureung Gp. Mee Gp. Baro Gp. Tanjong Tgk. Ali Gp. Punti Matang Kuli Gp. Tjg. Babah Krueng Gp. Blang Matang Kuli Gp. Teupin Keube Gp. Menye Pirak Gp. Trieng Teupin Keube Kec. Lhoksukon Rayeuk  Meucat  Rawa  Nga, LT  Manyang  Babah Geudubang  Meurbo  Krueng, LT  Jok, LT   Meuriya  Mns. Blang  Beuringin, LB  Geulumpang  Kuta Lhoksukon  Ceubrek  Trieng, MU  Mns. Asan, LB  Mns. Pante  Ulee Tanoh  Meunye, MU  Matang Meunye  Pulo Dulang  Matang Teungoh,AB Mns. Teungoh, LB  Nga, LB  Mns. Rambot  Alue Drien  Asan, AB  Alue Buket  Keutapang  Dayah,LB  Dayah, LT  Geumata  Tutong  Mns.Ranto  Alue Mudem  Ulee Barat  Mns Ranto  Geulinggang Kec. Pirak Timu Tanjong Seurukuy Menye VII Alue Bungkoh Teupin U Ceumeucet Leupe Krueng Pirak Matang Keh Rayeuk Pange Bungong Glumpang Asan Krueng Kreh Beuracan Rata Trieng Krueng Kreh Reungkam Keutapang Bili Baro Ara Tonton Kec. Tanah luas Ampeh  Serba Jaman Baroh  Tanjong Mesjid  Paya Deng Alue Pangkat Hueng Alue Rangkaya Tengku diBale Rayeuk Meunye Keude Blang Jrun Blang  Trieng  Matang Cibrek Matang Ben Rayeuk Kuta  Rayeuk Naleung Pulo U Paya Beurandang  Alue Keujruen  Ujong Baroh SB  Manyang SB  Cibrek  Alue Keujren Keutapang  Kec. Samudra Gp. Teupin Ara Gp. Madan Gp. Pusong Kec. Langkahan Gp. Buket Linteung Gp. Leubok Pusaka  Gp. Geudumbak Gp. Tanjong Dalam Gp. Tanjong Jawa Gp. Langkahan Gp. Matang Rubek Gp. Simpang Tiga  Kec. Kuta Makmur Gp. Krueng Seunong Gp. Keude Krueng  Gp. Pulo Iboih Kec. Paya Bakong Gp. Keude Paya Bakong Gp. Jok Gp. Pante Seuleumak Gp. Alue Bieng Kec. Tanah Pasir  Gp. Gampong Ranup Laseh Gp. Mee Merbo Gp. Ulee Tanoh Gp. Teupin Gapeuh",ACEH UTARA,ACEH,,"â Dipicu oleh hujan dengan intensitas tinggi di wilayah Kabupaten Aceh Utara Kamis tanggal 30 Desember  2021 menyebabkan air sungai Krueng Peutoe, Sungai Krueng Keureuto meluap",3,0,0,1,0,3,1,0,0,"ACEH UTARA,ACEH","Aceh Utara, Aceh, Indonesia","(4.99119405, 97.1587368058996, 0.0)",4.99119405,97.1587368058996,0.0
2,2,1213,3,31/12/2021,BANJIR,Kec. Pematang Jaya Ds. Damar Condong,LANGKAT,SUMATERA UTARA,,â Dipicu oleh dengan intensitas curah hujan yang cukup tinggi pada hari Jum'at Tanggal 31 Desember 2021 Pukul 05.00 wib - 08.00 wib menyebabkan air menggenangi pemukiman warga,0,0,0,0,0,0,0,0,0,"LANGKAT,SUMATERA UTARA","Langkat, Sumatera Utara, Indonesia","(3.8290501, 98.24827397454335, 0.0)",3.8290501,98.24827397454337,0.0
3,3,1221,4,31/12/2021,BANJIR,â Kec. Batang Lobu Sutam - Ds. Tanjung Baru - Ds. Muara Malinto - Ds. Tandolan - Ds. Siadam - Ds. Tamiang - Ds. Psr. Tamiang - Ds. Tanjung Barani - Ds. Manggis - Ds. Pinarik - Ds. Siojo - Ds. Paran Manggis - Ds. Huta Nopan - Ds. Tangga Batu - Ds. Paran Dolok - Ds. Ark Sorik,PADANG LAWAS,SUMATERA UTARA,,Dipicu hujan deras dengan durasi panjang mengakibatkan banjir bandang dengan membawa material kayu dari kawasan hulu sungai,0,0,0,637,1,0,638,0,0,"PADANG LAWAS,SUMATERA UTARA","Padang Lawas, Sumatera Utara, 22774, Indonesia","(1.1565902000000001, 99.81080407051435, 0.0)",1.1565902,99.81080407051437,0.0
4,4,3374,5,31/12/2021,BANJIR,Kec. Gayamsari Kel. Tambakrejo Kel. Kaligawe Kec. Genuk Kel. Gebangsari Kel. Genuksari Kel. Muktiharjo Lor Kel. Terboyo Kulon Kec. Pedurungan Kel. Muktiharjo Kidul Kel. Tlogosari Kulon,KOTA SEMARANG,JAWA TENGAH,,Dipicu hujan dengan intensitas tinggi di wilayah Kota Semarang dan daerah penyangga sehingga menyebabkan debit air meluap dan menggenangi rumah warga,0,0,0,0,0,0,0,0,0,"KOTA SEMARANG,JAWA TENGAH","Gang Kelapa Gading, Wates, Ngaliyan, Kota Semarang, RW 01, Wates, Ngaliyan, Semarang, Jawa Tengah, 50189, Indonesia","(-7.0197176, 110.3360514, 0.0)",-7.019717599999999,110.3360514,0.0
5,5,1206,6,31/12/2021,BANJIR,Kec. Bonatua Ds. Lumban Sangkalan Ds. Harungguan Ds. Silamosik Ds. Partoruan Lumban Lobu Ds. Oardolok Lumban Lobu Ds. Silombu,TOBA,SUMATERA UTARA,,âDipicu oleh hujan dengan intensitas lebat  di wilayah Kec. Bonatua yang berdampak derasnya aliran Sungai Aek Bang dan mengakibatkan jebolnya tanggul dan berdampak banjir,0,0,0,0,0,0,0,0,0,"TOBA,SUMATERA UTARA","Toba, Samosir, Sumatera Utara, Indonesia","(2.58, 98.83, 0.0)",2.58,98.83,0.0
6,6,3528,7,31/12/2021,BANJIR,Kec. Larangan Ds. Trasak Kec. Pademawu Ds. Sentol Kec. Kadur Ds. Pamoroh Kec. Pamekasan Kel. Gladak Anyar Kec. Pamekasan Kel. Patemon,PAMEKASAN,JAWA TIMUR,,â Dipicu hujan intensitas sedang disertai angin Kencang sekitar pukul 15.30 WIB,0,0,0,0,0,0,0,0,0,"PAMEKASAN,JAWA TIMUR","Pamekasan, Jawa Timur, Indonesia","(-7.1605439, 113.4826273, 0.0)",-7.1605439,113.4826273,0.0
7,7,1173,8,31/12/2021,BANJIR,Kec. Langsa Baro Gp. Paya Bujok Seulemak Gp. Paya Bujok Tunong Gp. Karang Ayer Gp. Birem Puntong Gp. Lhok Nani Gp. Matang Seulimeng Gp. Alur Dua Induk Gp. Lengkong Kec Langsa Lama Gp. Meurandeh Teungoh Gp. Seulalah Lama Gp. Pondok Pabrik Gp. Pondok Kemuning Gp. Seulalah Baro Kec. Langsa Timur Gp. Medang Ara Gp. Simpang Wie Kec. Langsa Barat Gp. Paya Bujok Teungoh Gp. Timbang Langsa,KOTA LANGSA,ACEH,,â Dipicu hujan dengan intensitas tinggi,0,0,0,0,0,0,0,0,0,"KOTA LANGSA,ACEH","Langsa Kota, Langsa, Aceh, 24412, Indonesia","(4.47158865, 97.97375247454653, 0.0)",4.47158865,97.97375247454652,0.0
8,8,1105,9,30/12/2021,BANJIR,Kec. Birem Beyeun Gampong Alue Sentang Gampong Paya TampahÂ¬ Gampong Alue Gadeng 2 Gampong Paya Bili 1 Gampong Paya Bili 2 Gampong Alur Nyamuk Gampong Aramiah Gampong Alue Gadeng Gampong Birem Rayeuk Gampong Alue Itam  Gampong Buket Seulemak  Gampong Merbau Dua Gampong Alue Canang Gampong Bukit Tiga  Kec. Indra Makmur Gampong Alue Ie Mirah Gampong Pelita Sagop Jaya Gampong Jambo Lubok Gampong Julok Rayeuk Utara  Kec. Sungai Raya Gampong Buket Drien Gampong Sungai Simpang Gampong Snb Pase Gampong Snb Aceh Gampong Krueng Lingka  Gampong Gajah Mentah  Gampong Alue Itam Gampong Geulumpang Payoung Gampong Labuhan Keude Gampong Buket Selamat   Kec. Idi Tunong Gampong Alue Lhok Gampong Snb Buya  Kec. Rantau Selamat Gampong Bayeun Gampong Alue Selemak Gampong Sarah Kayeu Gampong Rantau Panjang Gampong Snb Dalam Gampong Alue Kumba Gampong Alue Punti Gampong Alue Kaul  Kec. Peurelak Timur Gampong Snb. Teungoh Gampong Alur Nireh Gampong Tualang Pateng Gampong Snb Lapang Gampong Babah Krueng Gampong Snb Punti Gampong Snb Jalan Gampong Alue Tho  Kec. Ranto Peureulak Gampong Punti Payung Gampong Semali Gampong Paya Palas Gampong Alue Udep Gampong Dayah Alue Udep Gampong Mata Ie Gampong Pertamina Gampong Alue Dua Gampong.Alue Batee Gampong Alue Genteng Gampong Pasie Puteh Gampong Buket Pala Gampong Seumanah Jaya  Kec. Julok Gampong Ladang Baro Gampong Keumuneng Gampong Buket Panyang Gampong.Blang Jambee Gampong Tepin Raya Gampong Lhok Sentang  Kec. Nurussalam Gampong Mesjid Gampong Lhee Gampong Alue Siwah Serdang Gampong Seumatang Aron Gampong Snb Rambong  Kec. Darul Falah Gampong Tunong Ulee Gajah Gampong Buket Taufah Gampong Ceumpeudak Gampong Snb. Panton Gampong Keude Blang Gampong Tunong Bugeng  Kec. Banda Alam Gampong Jambo Reuhat Gampong Blang Rambong Gampong Snb. Pango Gampong Panton Rayeuk M Gampong Snb. Benteng Gampong Paya Laman Gampong Uram Jalan  Kec. Pante Bidari Gampong Blang Seunong  Kec. Simpang Jernih Gampong Pante Kera  Kec. Peurlak Barat Gampong Beusa Seberang,ACEH TIMUR,ACEH,,"âDipicu hujan dengan intensitas tinggi sejak Kamis pagi sehingga menyebabkan banjir di Kec. Birem Beyeun pada hari Kamis, 30 Desember 2021, Pkl. 19:45 WIB",2,0,0,1,2,2,3,0,0,"ACEH TIMUR,ACEH","Aceh Timur, Aceh, Indonesia","(4.70166295, 97.64503901995158, 0.0)",4.70166295,97.64503901995155,0.0
9,9,1409,10,30/12/2021,BANJIR,Kec. Pujud Kep. Air Hitam,ROKAN HILIR,RIAU,,âIntensitas hujan yang tinggi di Kep. Air hitam maupun dai daerah bagian hulu yang melintas Sungai Rokan.,0,0,0,0,0,0,0,0,0,"ROKAN HILIR,RIAU","Rokan Hilir, Kalimantan Timur, Indonesia","(0.9751078, 117.5295601, 0.0)",0.9751078,117.5295601,0.0
