,source,disaster_type,Desa,Kecamatan,Kabupaten,Provinsi,long,lat,datetime,report_type,structureFailure,condition,points,accessabilityFailure
0,grasp,earthquake,Gambir,Gambir,Jakarta Pusat,Daerah Khusus Ibukota Jakarta,106.83136,-6.17523,2020-05-17 21:39:26,structure,1,-1,-1,-1
1,grasp,earthquake,Catur Tunggal,Depok,Sleman,Daerah Istimewa Yogyakarta,110.41285,-7.77457,2020-06-21 19:45:34,road,-1,0,-1,0
2,grasp,earthquake,Sendangijo,Selogiri,Wonogiri,Jawa Tengah,110.89281000000001,-7.7583899999999995,2020-06-21 19:47:51,road,-1,0,1,4
3,grasp,earthquake,Pulau Untung Jawa,Kepulauan Seribu Selatan,Kepulauan Seribu,Daerah Khusus Ibukota Jakarta,106.69201000000001,-5.9742,2020-06-21 20:01:26,structure,2,-1,-1,-1
4,grasp,earthquake,Sardonoharjo,Ngaglik,Sleman,Daerah Istimewa Yogyakarta,110.41686000000001,-7.69738,2020-04-07 19:15:44,road,-1,0,1,4
5,grasp,earthquake,Giwangretno,Sruweng,Kebumen,Jawa Tengah,109.61039,-7.67457,2020-06-07 23:44:56,road,-1,0,-1,2
6,grasp,earthquake,Giwangretno,Sruweng,Kebumen,Jawa Tengah,109.61062,-7.67471,2020-06-07 23:46:15,structure,0,-1,0,-1
7,grasp,earthquake,Gunungsari,Jatisrono,Wonogiri,Jawa Tengah,111.12787,-7.8280199999999995,2020-07-07 05:03:26,road,-1,2,-1,0
8,grasp,earthquake,Gowongan,Jetis,Kota Yogyakarta,Daerah Istimewa Yogyakarta,110.36423,-7.783519999999999,2020-07-21 18:53:56,road,-1,1,-1,0
9,grasp,earthquake,Karet Kuningan,Setia Budi,Jakarta Selatan,Daerah Khusus Ibukota Jakarta,106.83116000000001,-6.21824,2020-07-23 03:48:40,road,-1,2,-1,1
10,grasp,earthquake,Sigaracipta,Ciparay,Bandung,Jawa Barat,107.70751000000001,-7.065119999999999,2020-08-18 09:36:21,structure,0,-1,-1,-1
11,grasp,earthquake,Tipar,Citamiang,Sukabumi,Jawa Barat,106.92943999999999,-6.925510000000001,2020-05-09 03:12:48,structure,2,-1,-1,-1
12,grasp,earthquake,Baleendah,Baleendah,Bandung,Jawa Barat,107.62369,-7.01098,2020-01-11 14:49:30,road,-1,0,1,4
13,grasp,earthquake,Kejapanan,Gempol,Pasuruan,Jawa Timur,112.70068,-7.5553,2020-01-11 16:56:01,road,-1,1,1,1
14,grasp,earthquake,Sukamulya,Talegong,Garut,Jawa Barat,107.51132,-7.300489999999999,2020-12-12 08:34:38,road,-1,2,-1,3
15,grasp,earthquake,Sukamulya,Talegong,Garut,Jawa Barat,107.51122,-7.30055,2020-12-12 08:36:44,structure,1,-1,-1,-1
16,grasp,earthquake,Tambakaji,Ngaliyan,Semarang,Jawa Tengah,110.34493,-6.99794,2021-01-01 06:05:42,road,-1,1,-1,0
17,grasp,earthquake,Kebon Kelapa,Gambir,Jakarta Pusat,Daerah Khusus Ibukota Jakarta,106.83003000000001,-6.16763,2021-01-18 04:02:11,structure,0,-1,-1,-1
18,grasp,earthquake,Panggalo,Ulumanda,Majene,Sulawesi Barat,118.90704,-3.1291900000000004,2021-01-18 11:48:52,road,-1,2,-1,0
19,grasp,earthquake,Krembangan,Taman,Sidoarjo,Jawa Timur,112.66657,-7.352939999999999,2021-01-21 11:18:02,road,-1,2,-1,4
20,grasp,earthquake,Krembangan,Taman,Sidoarjo,Jawa Timur,112.66657,-7.352939999999999,2021-01-21 11:19:52,structure,2,-1,-1,-1
21,grasp,earthquake,Krembangan,Taman,Sidoarjo,Jawa Timur,112.6663,-7.35272,2021-01-21 11:25:43,structure,1,-1,-1,-1
22,grasp,earthquake,Krembangan,Taman,Sidoarjo,Jawa Timur,112.66621,-7.3525100000000005,2021-01-21 11:26:29,road,-1,2,-1,4
23,grasp,earthquake,Sukapura,Kiaracondong,Bandung,Jawa Barat,107.64971000000001,-6.942360000000001,2021-01-22 04:00:25,structure,1,-1,-1,-1
24,grasp,earthquake,Simboro,Simboro,Mamuju,Sulawesi Barat,118.86323999999999,-2.6794599999999997,2021-01-23 02:22:10,structure,1,-1,-1,-1
25,grasp,earthquake,Gambir,Gambir,Jakarta Pusat,Daerah Khusus Ibukota Jakarta,106.82956000000001,-6.17429,2021-01-23 05:23:53,structure,1,-1,-1,-1
26,grasp,earthquake,Wangunharja,Cikarang Utara,Bekasi,Jawa Barat,107.11788999999999,-6.29178,2021-01-27 12:03:40,structure,1,-1,-1,-1
27,grasp,earthquake,Gambir,Gambir,Jakarta Pusat,Daerah Khusus Ibukota Jakarta,106.82762,-6.17499,2021-01-30 09:11:07,structure,1,-1,-2,-1
28,grasp,earthquake,Kamonji,Palu Barat,Palu,Sulawesi Tengah,119.85013000000001,-0.89575,2021-02-14 03:58:04,structure,1,-1,-1,-1
29,grasp,earthquake,Aek Unsin,Borbor,Toba Samosir,Sumatera Utara,99.38061,2.1911,2021-02-17 04:38:42,road,-1,0,-1,3
30,grasp,earthquake,Pejaten Timur,Pasar Minggu,Jakarta Selatan,Daerah Khusus Ibukota Jakarta,106.84926999999999,-6.2899199999999995,2021-02-20 04:49:04,structure,1,-1,20,-1
31,grasp,earthquake,Lamadong 1,Momunu,Buol,Sulawesi Tengah,121.39939,1.12906,2021-02-22 19:49:40,road,-1,0,-1,4
