,source,disaster_type,Desa,Kecamatan,Kabupaten,Provinsi,long,lat,datetime,report_type,impact,points
0,grasp,wind,Nanggung,Nanggung,Bogor,Jawa Barat,106.52635,-6.61666,2020-09-29 01:26:28,wind,1,99
1,grasp,wind,Tanjung Rejo,Medan Sunggal,Medan,Sumatera Utara,98.63755,3.57345,2020-09-29 15:40:20,wind,0,99
2,grasp,wind,Kepatihan,Banyuwangi,Banyuwangi,Jawa Timur,114.37755,-8.2109,2020-11-17 07:16:14,wind,0,1
3,grasp,wind,Kebalenan,Banyuwangi,Banyuwangi,Jawa Timur,114.35311000000002,-8.22498,2020-11-19 11:27:40,wind,1,99
4,grasp,wind,Baros,Baros,Sukabumi,Jawa Barat,106.94033,-6.96195,2020-06-12 03:49:27,wind,2,99
5,grasp,wind,Neglasari,Nyalindung,Sukabumi,Jawa Barat,106.94306,-6.96891,2020-06-12 03:53:32,wind,2,99
6,grasp,wind,Bojong,Karangtengah,Cianjur,Jawa Barat,107.16611999999999,-6.801819999999999,2020-08-12 10:55:04,wind,0,99
7,grasp,wind,Poris Plawad Indah,Cipondoh,Tangerang,Banten,106.66581000000001,-6.194459999999999,2021-01-17 01:03:15,wind,0,0
8,grasp,wind,Pakuan Aji,Sukadana,Lampung Timur,Lampung,105.62275,-5.11843,2021-01-23 12:41:08,wind,1,99
9,grasp,wind,Bandar Lor,Mojoroto,Kediri,Jawa Timur,112.00639,-7.823910000000001,2021-01-30 03:06:03,wind,1,99
10,grasp,wind,Gambir,Gambir,Jakarta Pusat,Daerah Khusus Ibukota Jakarta,106.82753000000001,-6.17399,2021-01-30 03:22:25,wind,1,99
11,grasp,wind,Oro-Oro Ombo,Batu,Batu,Jawa Timur,112.51933000000001,-7.89774,2021-01-30 03:37:29,wind,1,99
12,grasp,wind,Purbahayu,Pangandaran,Pangandaran,Jawa Barat,108.65063,-7.64507,2021-01-02 03:44:42,wind,2,99
13,grasp,wind,Penggilingan,Cakung,Jakarta Timur,Daerah Khusus Ibukota Jakarta,106.94096,-6.207669999999999,2021-02-02 09:37:31,wind,0,99
14,grasp,wind,Pecatu,Kuta Selatan,Badung,Bali,115.12386000000001,-8.803460000000001,2021-03-02 09:56:37,wind,0,99
15,grasp,wind,Mangunharjo,Tembalang,Semarang,Jawa Tengah,110.46896000000001,-7.05255,2021-06-02 02:07:11,wind,1,99
16,grasp,wind,Bandar Lor,Mojoroto,Kediri,Jawa Timur,112.00665,-7.82442,2021-06-02 02:48:59,wind,0,99
17,grasp,wind,Mojopurno,Wungu,Madiun,Jawa Timur,111.55963,-7.64531,2021-06-02 03:08:59,wind,1,99
18,grasp,wind,Bandar Jaya Timur,Terbanggi Besar,Lampung Tengah,Lampung,105.21217,-4.93571,2021-09-02 07:39:02,wind,0,99
19,grasp,wind,Penggilingan,Cakung,Jakarta Timur,Daerah Khusus Ibukota Jakarta,106.9415,-6.20715,2021-02-16 03:50:07,wind,1,99
20,grasp,wind,Pecatu,Kuta Selatan,Badung,Bali,115.12323,-8.80494,2021-02-17 12:32:42,wind,0,99
21,grasp,wind,Klepu,Pringapus,Semarang,Jawa Tengah,110.4457,-7.1849300000000005,2021-02-20 01:18:46,wind,0,99
22,grasp,wind,Gambir,Gambir,Jakarta Pusat,Daerah Khusus Ibukota Jakarta,106.82685,-6.17448,2021-02-23 07:57:17,wind,1,99
23,grasp,wind,Penjaringan,Penjaringan,Jakarta Utara,Daerah Khusus Ibukota Jakarta,106.80713,-6.12105,2021-02-25 17:22:45,wind,1,1
24,grasp,wind,Mampang Prapatan,Mampang Prapatan,Jakarta Selatan,Daerah Khusus Ibukota Jakarta,106.82708999999998,-6.24073,2021-05-03 11:23:56,wind,1,99
25,grasp,wind,Serdang,Kemayoran,Jakarta Pusat,Daerah Khusus Ibukota Jakarta,106.85752,-6.15915,2021-07-03 06:54:22,wind,0,99
26,grasp,wind,Gambir,Gambir,Jakarta Pusat,Daerah Khusus Ibukota Jakarta,106.82608,-6.18021,2021-10-03 03:00:36,wind,1,99
27,grasp,wind,Sikumana,Maulafa,Kota Kupang,Nusa Tenggara Timur,123.61085,-10.205169999999999,2021-04-04 23:22:48,wind,1,99
