,Location,loc,point,lat,lon,altitude
0,"OGAN KOMERING ULU,SUMATERA SELATAN","Ogan Komering Ulu, Sumatera Selatan, Indonesia","(-4.1101012, 104.00828376734528, 0.0)",-4.1101012,104.00828376734528,0.0
1,"ACEH UTARA,ACEH","Aceh Utara, Aceh, Indonesia","(4.99119405, 97.1587368058996, 0.0)",4.99119405,97.1587368058996,0.0
2,"LANGKAT,SUMATERA UTARA","Langkat, Sumatera Utara, Indonesia","(3.8290501, 98.24827397454335, 0.0)",3.8290501,98.24827397454335,0.0
3,"PADANG LAWAS,SUMATERA UTARA","Padang Lawas, Sumatera Utara, 22774, Indonesia","(1.1565902000000001, 99.81080407051435, 0.0)",1.1565902000000001,99.81080407051435,0.0
4,"KOTA SEMARANG,JAWA TENGAH","Gang Kelapa Gading, Wates, Ngaliyan, Kota Semarang, RW 01, Wates, Ngaliyan, Semarang, Jawa Tengah, 50189, Indonesia","(-7.0197176, 110.3360514, 0.0)",-7.0197176,110.3360514,0.0
5,"TOBA,SUMATERA UTARA","Toba, Samosir, Sumatera Utara, Indonesia","(2.58, 98.83, 0.0)",2.58,98.83,0.0
6,"PAMEKASAN,JAWA TIMUR","Pamekasan, Jawa Timur, Indonesia","(-7.1605439, 113.4826273, 0.0)",-7.1605439,113.4826273,0.0
7,"KOTA LANGSA,ACEH","Langsa Kota, Langsa, Aceh, 24412, Indonesia","(4.47158865, 97.97375247454653, 0.0)",4.47158865,97.97375247454653,0.0
8,"ACEH TIMUR,ACEH","Aceh Timur, Aceh, Indonesia","(4.70166295, 97.64503901995158, 0.0)",4.70166295,97.64503901995158,0.0
9,"ROKAN HILIR,RIAU","Rokan Hilir, Kalimantan Timur, Indonesia","(0.9751078, 117.5295601, 0.0)",0.9751078,117.5295601,0.0
10,"LAMPUNG TIMUR,LAMPUNG","Lampung Timur, Lampung, 34382, Indonesia","(-5.119711649999999, 105.59515146938611, 0.0)",-5.119711649999999,105.59515146938611,0.0
11,"PENUKAL ABAB LEMATANG ILIR,SUMATERA SELATAN","Penukal Abab Lematang Ilir, Sumatera Selatan, Indonesia","(-3.21399505, 104.0076940890376, 0.0)",-3.21399505,104.0076940890376,0.0
12,"BOGOR,JAWA BARAT","Bogor, Jawa Barat, 16121, Indonesia","(-6.5962986, 106.7972421, 0.0)",-6.5962986,106.7972421,0.0
13,"KARAWANG,JAWA BARAT","Karawang, Jawa Barat, 41312, Indonesia","(-6.3042012, 107.307897, 0.0)",-6.3042012,107.307897,0.0
14,"BOJONEGORO,JAWA TIMUR","SMP Negeri 1 Dander, Bojonegoro, Jawa Timur, KM 15, Jalan Sumberarum, Sumberarum, Bojonegoro, Jawa Timur, 62171, Indonesia","(-7.2657534, 111.8665345, 0.0)",-7.2657534,111.8665345,0.0
15,"PENAJAM PASER UTARA,KALIMANTAN TIMUR","Kel. Penajam, Kalimantan Timur, 76141, Indonesia","(-1.2448547, 116.7759615, 0.0)",-1.2448547,116.7759615,0.0
16,"BANDUNG,JAWA BARAT","Jawa Barat, Cibiru, Cipadung Kidul, Panyileukan, Bandung, Jawa Barat, 40624, Indonesia","(-6.9342173, 107.7222573, 0.0)",-6.9342173,107.7222573,0.0
17,"KARAWANG,JAWA BARAT","Karawang, Jawa Barat, 41312, Indonesia","(-6.3042012, 107.307897, 0.0)",-6.3042012,107.307897,0.0
18,"LAMPUNG TIMUR,LAMPUNG","Lampung Timur, Lampung, 34382, Indonesia","(-5.119711649999999, 105.59515146938611, 0.0)",-5.119711649999999,105.59515146938611,0.0
19,"MUARA ENIM,SUMATERA SELATAN","Muara Enim, Sumatera Selatan, Indonesia","(-3.84670675, 103.96157194770801, 0.0)",-3.84670675,103.96157194770801,0.0
20,"SUMBA TENGAH,NUSA TENGGARA TIMUR","Sumba Tengah, Nusa Tenggara Timur, Indonesia","(-9.5935839, 119.66627706284194, 0.0)",-9.5935839,119.66627706284194,0.0
