,source,disaster_type,report_dat,tags,Desa,Kecamatan,Kabupaten,Provinsi,long,lat,datetime
2130,grasp,earthquake,"{ ""report_type"": ""structure"", ""structureFailure"": 1 }","{ ""district_id"": ""3173"", ""local_area_id"": ""508"", ""instance_region_code"": ""ID-JK"" }",Gambir,Gambir,Jakarta Pusat,Daerah Khusus Ibukota Jakarta,106.83136,-6.17523,2020-05-17 21:39:26
2218,grasp,earthquake,"{ ""report_type"": ""road"", ""accessabilityFailure"": 0, ""condition"": 0 }","{ ""district_id"": null, ""local_area_id"": null, ""instance_region_code"": ""ID-YO"" }",Catur Tunggal,Depok,Sleman,Daerah Istimewa Yogyakarta,110.41285,-7.77457,2020-06-21 19:45:34
2219,grasp,earthquake,"{ ""points"": 1, ""condition"": 0, ""report_type"": ""road"", ""accessabilityFailure"": 4 }","{ ""district_id"": null, ""local_area_id"": null, ""instance_region_code"": ""ID-JT"" }",Sendangijo,Selogiri,Wonogiri,Jawa Tengah,110.89281000000001,-7.7583899999999995,2020-06-21 19:47:51
2220,grasp,earthquake,"{ ""report_type"": ""structure"", ""structureFailure"": 2 }","{ ""district_id"": null, ""local_area_id"": null, ""instance_region_code"": ""ID-JK"" }",Pulau Untung Jawa,Kepulauan Seribu Selatan,Kepulauan Seribu,Daerah Khusus Ibukota Jakarta,106.69201000000001,-5.9742,2020-06-21 20:01:26
2235,grasp,earthquake,"{ ""points"": 1, ""condition"": 0, ""report_type"": ""road"", ""accessabilityFailure"": 4 }","{ ""district_id"": null, ""local_area_id"": null, ""instance_region_code"": ""ID-YO"" }",Sardonoharjo,Ngaglik,Sleman,Daerah Istimewa Yogyakarta,110.41686000000001,-7.69738,2020-04-07 19:15:44
2238,grasp,earthquake,"{ ""report_type"": ""road"", ""accessabilityFailure"": 2, ""condition"": 0 }","{ ""district_id"": null, ""local_area_id"": null, ""instance_region_code"": ""ID-JT"" }",Giwangretno,Sruweng,Kebumen,Jawa Tengah,109.61039,-7.67457,2020-06-07 23:44:56
2239,grasp,earthquake,"{ ""points"": 0, ""report_type"": ""structure"", ""structureFailure"": 0 }","{ ""district_id"": null, ""local_area_id"": null, ""instance_region_code"": ""ID-JT"" }",Giwangretno,Sruweng,Kebumen,Jawa Tengah,109.61062,-7.67471,2020-06-07 23:46:15
2240,grasp,earthquake,"{ ""report_type"": ""road"", ""accessabilityFailure"": 0, ""condition"": 2 }","{ ""district_id"": null, ""local_area_id"": null, ""instance_region_code"": ""ID-JT"" }",Gunungsari,Jatisrono,Wonogiri,Jawa Tengah,111.12787,-7.8280199999999995,2020-07-07 05:03:26
2271,grasp,earthquake,"{ ""report_type"": ""road"", ""accessabilityFailure"": 0, ""condition"": 1 }","{ ""district_id"": null, ""local_area_id"": null, ""instance_region_code"": ""ID-YO"" }",Gowongan,Jetis,Kota Yogyakarta,Daerah Istimewa Yogyakarta,110.36423,-7.783519999999999,2020-07-21 18:53:56
2272,grasp,earthquake,"{ ""report_type"": ""road"", ""accessabilityFailure"": 1, ""condition"": 2 }","{ ""district_id"": ""3171"", ""local_area_id"": ""1336"", ""instance_region_code"": ""ID-JK"" }",Karet Kuningan,Setia Budi,Jakarta Selatan,Daerah Khusus Ibukota Jakarta,106.83116000000001,-6.21824,2020-07-23 03:48:40
2301,grasp,earthquake,"{ ""report_type"": ""structure"", ""structureFailure"": 0 }","{ ""district_id"": null, ""local_area_id"": null, ""instance_region_code"": ""ID-JB"" }",Sigaracipta,Ciparay,Bandung,Jawa Barat,107.70751000000001,-7.065119999999999,2020-08-18 09:36:21
2311,grasp,earthquake,"{ ""report_type"": ""structure"", ""structureFailure"": 2 }","{ ""district_id"": null, ""local_area_id"": null, ""instance_region_code"": ""ID-JB"" }",Tipar,Citamiang,Sukabumi,Jawa Barat,106.92943999999999,-6.925510000000001,2020-05-09 03:12:48
