,source,disaster_type,report_dat,tags,Desa,Kecamatan,Kabupaten,Provinsi,long,lat,datetime
2382,grasp,wind,"{ ""report_type"": ""wind"", ""impact"": 1 }","{ ""district_id"": null, ""local_area_id"": null, ""instance_region_code"": ""ID-JB"" }",Nanggung,Nanggung,Bogor,Jawa Barat,106.52635,-6.61666,2020-09-29 01:26:28
2383,grasp,wind,"{ ""report_type"": ""wind"", ""impact"": 0 }","{ ""district_id"": null, ""local_area_id"": null, ""instance_region_code"": ""ID-SU"" }",Tanjung Rejo,Medan Sunggal,Medan,Sumatera Utara,98.63755,3.57345,2020-09-29 15:40:20
2505,grasp,wind,"{ ""impact"": 0, ""points"": 1, ""report_type"": ""wind"" }","{ ""district_id"": null, ""local_area_id"": null, ""instance_region_code"": ""ID-JI"" }",Kepatihan,Banyuwangi,Banyuwangi,Jawa Timur,114.37755,-8.2109,2020-11-17 07:16:14
2510,grasp,wind,"{ ""report_type"": ""wind"", ""impact"": 1 }","{ ""district_id"": null, ""local_area_id"": null, ""instance_region_code"": ""ID-JI"" }",Kebalenan,Banyuwangi,Banyuwangi,Jawa Timur,114.35311000000002,-8.22498,2020-11-19 11:27:40
2534,grasp,wind,"{ ""report_type"": ""wind"", ""impact"": 2 }","{ ""district_id"": null, ""local_area_id"": null, ""instance_region_code"": ""ID-JB"" }",Baros,Baros,Sukabumi,Jawa Barat,106.94033,-6.96195,2020-06-12 03:49:27
2535,grasp,wind,"{ ""report_type"": ""wind"", ""impact"": 2 }","{ ""district_id"": null, ""local_area_id"": null, ""instance_region_code"": ""ID-JB"" }",Neglasari,Nyalindung,Sukabumi,Jawa Barat,106.94306,-6.96891,2020-06-12 03:53:32
2545,grasp,wind,"{ ""report_type"": ""wind"", ""impact"": 0 }","{ ""district_id"": null, ""local_area_id"": null, ""instance_region_code"": ""ID-JB"" }",Bojong,Karangtengah,Cianjur,Jawa Barat,107.16611999999999,-6.801819999999999,2020-08-12 10:55:04
2736,grasp,wind,"{ ""impact"": 0, ""points"": 0, ""report_type"": ""wind"" }","{ ""district_id"": null, ""local_area_id"": null, ""instance_region_code"": ""ID-BT"" }",Poris Plawad Indah,Cipondoh,Tangerang,Banten,106.66581000000001,-6.194459999999999,2021-01-17 01:03:15
2789,grasp,wind,"{ ""report_type"": ""wind"", ""impact"": 1 }","{ ""district_id"": null, ""local_area_id"": null, ""instance_region_code"": ""ID-LA"" }",Pakuan Aji,Sukadana,Lampung Timur,Lampung,105.62275,-5.11843,2021-01-23 12:41:08
2807,grasp,wind,"{ ""report_type"": ""wind"", ""impact"": 1 }","{ ""district_id"": null, ""local_area_id"": null, ""instance_region_code"": ""ID-JI"" }",Bandar Lor,Mojoroto,Kediri,Jawa Timur,112.00639,-7.823910000000001,2021-01-30 03:06:03
